ID,entrydate,hours,description,timesheet_ID,workpackages_ID
33333333-4444-4555-8666-777777777777,2026-05-12,8.00,Worked on APIs,11111111-2222-4333-8444-555555555555,550e8400-e29b-41d4-a716-446655440000
44444444-5555-4666-8777-888888888888,2026-05-13,8.00,Database integration,11111111-2222-4333-8444-555555555555,550e8400-e29b-41d4-a716-446655440000
55555555-6666-4777-8888-999999999999,2026-05-12,6.00,Fiori UI development,22222222-3333-4444-8555-666666666666,6fad1a77-4e23-4a6b-9c4d-123456789abc
66666666-7777-4888-9999-aaaaaaaaaaaa,2026-05-13,18.00,Testing scenarios,22222222-3333-4444-8555-666666666666,8c1f1040-7db8-4d3e-91c1-fc0a9c987654
77777777-8888-4999-aaaa-bbbbbbbbbbbb,2026-05-14,7.50,Implemented authentication module,33333333-4444-4555-8666-777777777777,d290f1ee-6c54-4b01-90e6-d701748f0851
88888888-9999-4aaa-bbbb-cccccccccccc,2026-05-15,8.00,Created CAP service handlers,33333333-4444-4555-8666-777777777777,6ba7b810-9dad-11d1-80b4-00c04fd430c8
99999999-aaaa-4bbb-cccc-dddddddddddd,2026-05-16,5.50,Unit testing for APIs,44444444-5555-4666-8777-888888888888,16fd2706-8baf-433b-82eb-8c7fada847da
aaaaaaaa-bbbb-4ccc-dddd-eeeeeeeeeeee,2026-05-17,9.00,Frontend enhancements,44444444-5555-4666-8777-888888888888,550e8400-e29b-41d4-a716-446655440000
bbbbbbbb-cccc-4ddd-eeee-ffffffffffff,2026-05-18,4.00,Requirement gathering session,55555555-6666-4777-8888-999999999999,f47ac10b-58cc-4372-a567-0e02b2c3d479
cccccccc-dddd-4eee-ffff-000000000000,2026-05-19,8.50,Bug fixing and deployment,66666666-7777-4888-9999-aaaaaaaaaaaa,c9bf9e57-1685-4c89-bafb-ff5af830be8a