ID,employee_ID,weekstartdate,status,totalhours_computed,approvedby_ID,comments
11111111-2222-4333-8444-555555555555,3fa85f64-5717-4562-b3fc-2c963f66afa1,2026-05-11,Draft,16.00,1b4e28ba-2fa1-11d2-883f-0016d3cca427,Initial draft
22222222-3333-4444-8555-666666666666,9f8c7d6e-5b4a-4321-9876-abcdef123456,2026-05-11,Submitted,24.00,1b4e28ba-2fa1-11d2-883f-0016d3cca427,Submitted for approval
33333333-4444-4555-8666-777777777777,550e8400-e29b-41d4-a716-446655440000,2026-05-18,Approved,40.00,123e4567-e89b-12d3-a456-426614174000,Approved after review
44444444-5555-4666-8777-888888888888,6ba7b810-9dad-11d1-80b4-00c04fd430c8,2026-05-18,Rejected,32.00,123e4567-e89b-12d3-a456-426614174000,Hours mismatch found
55555555-6666-4777-8888-999999999999,16fd2706-8baf-433b-82eb-8c7fada847da,2026-05-25,Submitted,38.50,1b4e28ba-2fa1-11d2-883f-0016d3cca427,Awaiting manager approval
66666666-7777-4888-9999-aaaaaaaaaaaa,c9bf9e57-1685-4c89-bafb-ff5af830be8a,2026-05-25,Draft,12.00,1b4e28ba-2fa1-11d2-883f-0016d3cca427,Partial entries added
77777777-8888-4999-aaaa-bbbbbbbbbbbb,7c9e6679-7425-40de-944b-e07fc1f90ae,2026-06-01,Approved,45.00,123e4567-e89b-12d3-a456-426614174000,Excellent completion
88888888-9999-4aaa-bbbb-cccccccccccc,f47ac10b-58cc-4372-a567-0e02b2c3d479,2026-06-01,Submitted,28.00,1b4e28ba-2fa1-11d2-883f-0016d3cca427,Need urgent approval
99999999-aaaa-4bbb-cccc-dddddddddddd,1b4e28ba-2fa1-11d2-883f-0016d3cca427,2026-06-08,Approved,41.50,123e4567-e89b-12d3-a456-426614174000,Verified and approved
aaaaaaaa-bbbb-4ccc-dddd-eeeeeeeeeeee,9f8c7d6e-5b4a-4321-9876-abcdef123456,2026-06-08,Rejected,20.00,123e4567-e89b-12d3-a456-426614174000,Incomplete documentation