ID,wpcode,title,plannnedHours,actualhours_computed,status,assignedto_ID,project_ID
550e8400-e29b-41d4-a716-446655440000,WP001,Backend Development,120.00,40.00,Open,3fa85f64-5717-4562-b3fc-2c963f66afa1,d290f1ee-6c54-4b01-90e6-d701748f0851
6fad1a77-4e23-4a6b-9c4d-123456789abc,WP002,Frontend Development,100.00,55.00,InProgress,9f8c7d6e-5b4a-4321-9876-abcdef123456,d290f1ee-6c54-4b01-90e6-d701748f0851
8c1f1040-7db8-4d3e-91c1-fc0a9c987654,WP003,Testing,80.00,20.00,Open,7c9e6679-7425-40de-944b-e07fc1f90ae,6ba7b810-9dad-11d1-80b4-00c04fd430c8
16fd2706-8baf-433b-82eb-8c7fada847da,WP004,Database Design,90.00,35.00,InProgress,550e8400-e29b-41d4-a716-446655440000,16fd2706-8baf-433b-82eb-8c7fada847da
123e4567-e89b-12d3-a456-426614174000,WP005,API Integration,110.00,60.00,Completed,6ba7b810-9dad-11d1-80b4-00c04fd430c8,550e8400-e29b-41d4-a716-446655440000
f47ac10b-58cc-4372-a567-0e02b2c3d479,WP006,UI Enhancements,70.00,25.00,Open,c9bf9e57-1685-4c89-bafb-ff5af830be8a,f47ac10b-58cc-4372-a567-0e02b2c3d479
c9bf9e57-1685-4c89-bafb-ff5af830be8a,WP007,Security Testing,60.00,18.00,InProgress,16fd2706-8baf-433b-82eb-8c7fada847da,c9bf9e57-1685-4c89-bafb-ff5af830be8a
7c9e6679-7425-40de-944b-e07fc1f90ae,WP008,Deployment Setup,50.00,10.00,Open,f47ac10b-58cc-4372-a567-0e02b2c3d479,7c9e6679-7425-40de-944b-e07fc1f90ae
9f8c7d6e-5b4a-4321-9876-abcdef123456,WP009,Requirement Analysis,40.00,40.00,Completed,1b4e28ba-2fa1-11d2-883f-0016d3cca427,9f8c7d6e-5b4a-4321-9876-abcdef123456
3fa85f64-5717-4562-b3fc-2c963f66afa1,WP010,Performance Optimization,95.00,30.00,InProgress,3fa85f64-5717-4562-b3fc-2c963f66afa1,3fa85f64-5717-4562-b3fc-2c963f66afa1